Thu ,10 May 2018 11:38:31 TestMethod.py [line:21] INFO ----------------帖子列表HTTP状态码---------------
Thu ,10 May 2018 11:38:31 TestMethod.py [line:22] INFO 状态码为：200
Thu ,10 May 2018 11:38:31 TestMethod.py [line:27] INFO ----------------创建帖子HTTP状态码---------------
Thu ,10 May 2018 11:38:31 TestMethod.py [line:28] INFO 状态码为：200
Thu ,10 May 2018 11:38:32 TestMethod.py [line:33] INFO ----------------帖子详情HTTP状态码---------------
Thu ,10 May 2018 11:38:32 TestMethod.py [line:34] INFO 状态码为：200
Thu ,10 May 2018 11:38:32 TestMethod.py [line:39] INFO ----------------获取帖子回复列表HTTP状态码---------------
Thu ,10 May 2018 11:38:32 TestMethod.py [line:40] INFO 状态码为：200
Thu ,10 May 2018 11:38:32 TestMethod.py [line:45] INFO ----------------举报主贴HTTP状态码---------------
Thu ,10 May 2018 11:38:32 TestMethod.py [line:46] INFO 状态码为：200
Thu ,10 May 2018 11:38:32 TestMethod.py [line:51] INFO ----------------举报回复的帖子HTTP状态码---------------
Thu ,10 May 2018 11:38:32 TestMethod.py [line:52] INFO 状态码为：200
Thu ,10 May 2018 11:38:33 TestMethod.py [line:57] INFO ----------------别人回复我的帖子列表HTTP状态码---------------
Thu ,10 May 2018 11:38:33 TestMethod.py [line:58] INFO 状态码为：200
Thu ,10 May 2018 11:38:33 TestMethod.py [line:63] INFO ----------------帖子回复HTTP状态码---------------
Thu ,10 May 2018 11:38:33 TestMethod.py [line:64] INFO 状态码为：200
